model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,genes,nobif,0.1,5,1,Base Decipher (genes),0.9693165312151159,,,,0.7612781093632395,0.566861133423777,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed5_native_nobif_genes.h5ad,,154.4
native,genes,nobif,0.1,4,1,Base Decipher (genes),0.9726756806699839,,,,0.7969290111271242,0.5826714082450636,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed4_native_nobif_genes.h5ad,,188.6
native,genes,nobif,0.5,5,1,Base Decipher (genes),0.9693411981752922,,,,0.6866164268088746,0.556485223938081,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed5_native_nobif_genes.h5ad,,169.2
native,genes,nobif,0.5,4,1,Base Decipher (genes),0.9743547392897929,,,,0.709551243527373,0.5493651482683323,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed4_native_nobif_genes.h5ad,,177.6
native,genes,nobif,0.5,3,1,Base Decipher (genes),0.9904643432816823,,,,0.8346242187572147,0.6898740604765877,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed3_native_nobif_genes.h5ad,,208.2
native,genes,nobif,2.0,4,1,Base Decipher (genes),0.5563159830266632,,,,0.7024083756917162,0.6739312164230793,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed4_native_nobif_genes.h5ad,,168.1
native,genes,nobif,1.0,5,1,Base Decipher (genes),0.722634901413681,,,,0.6614567308773699,0.5392606123392334,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed5_native_nobif_genes.h5ad,,203.4
native,genes,nobif,7.5,4,1,Base Decipher (genes),0.48245697374982827,,,,0.7376923946566121,0.8809744415806808,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed4_native_nobif_genes.h5ad,,115.8
native,genes,nobif,1.0,4,1,Base Decipher (genes),0.9190573591093615,,,,0.6537005071903534,0.5247473145978461,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed4_native_nobif_genes.h5ad,,221.3
native,genes,nobif,2.0,5,1,Base Decipher (genes),0.5002717553735914,,,,0.7353444837094711,0.7282321466551201,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed5_native_nobif_genes.h5ad,,175.6
native,genes,nobif,1.0,3,1,Base Decipher (genes),0.9798202773943253,,,,0.7584311270776073,0.6510757409634401,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed3_native_nobif_genes.h5ad,,254.3
native,genes,nobif,2.0,3,1,Base Decipher (genes),0.7958833202858465,,,,0.6993298912634514,0.5603456624212373,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed3_native_nobif_genes.h5ad,,238.7
