,cell_id,group
750,aahdkkmh-1,endothelial
751,aahdndhf-1,neutrophil
752,aahdpmbb-1,tumor
753,aaheanpf-1,tumor
754,aahebkei-1,tumor
755,aahedllo-1,tumor
756,aahfbhbp-1,tumor
759,aahfnkko-1,tumor
760,aahgepgi-1,tumor
761,aahginei-1,tumor
762,aahhalbi-1,fibroblast
764,aahhehbm-1,tumor
765,aahhgkco-1,tumor
766,aahhhboa-1,tumor
767,aahhodeh-1,tumor
768,aahianli-1,tumor
769,aahibbdi-1,tumor
771,aahijllb-1,tumor
774,aahipjkf-1,tumor
775,aahjlcfc-1,tumor
776,aahjlpda-1,tumor
777,aahjojjh-1,tumor
778,aahjpdbc-1,tumor
780,aahkeffd-1,tumor
781,aahkejhk-1,mixed_APC
782,aahkhfkp-1,mixed_immune
783,aahkkdbg-1,tumor
785,aahkmkok-1,tumor
786,aahknhjl-1,tumor
787,aahknmgi-1,fibroblast
789,aahkokcn-1,tumor
790,aahlapgj-1,tumor
791,aahlbeli-1,tumor
792,aahlbjee-1,tumor
794,aahlenkn-1,tumor
795,aahlgkim-1,tumor
796,aahlkhke-1,tumor
797,aahlklib-1,macrophage
798,aahlknhg-1,tumor
799,aahlolpd-1,tumor
800,aahmcjnh-1,fibroblast
801,aahmfjmf-1,tumor
802,aahmghin-1,tumor
803,aahmhemc-1,macrophage
804,aahmjnck-1,tumor
805,aahmkicf-1,tumor
806,aahmlaia-1,tumor
807,aahmlnjm-1,tumor
808,aahmmnnn-1,endothelial
809,aahnchhi-1,tumor
811,aahnmaam-1,tumor
812,aahnoaml-1,tumor
813,aahnombo-1,fibroblast
814,aahoalno-1,macrophage
815,aahonnda-1,tumor
816,aahpajcd-1,tumor
817,aahpaogi-1,tumor
818,aahpggpp-1,tumor
819,aahphnga-1,CD4 Treg
820,aahphogh-1,mixed_APC
822,aahpndhc-1,tumor
823,aahpnfji-1,tumor
824,aaiacagb-1,tumor
825,aaiackjd-1,tumor
826,aaiadbkm-1,tumor
827,aaiadhpn-1,tumor
828,aaiahjnc-1,tumor
829,aaiajhcd-1,endothelial
830,aaibbofn-1,tumor
831,aaibdnmm-1,mixed_immune
832,aaibkoek-1,monocyte
833,aaibnffb-1,fibroblast
834,aaibobjc-1,DC
835,aaibonkf-1,fibroblast
836,aaicfjfg-1,tumor
837,aaiciepo-1,tumor
838,aaicmhhf-1,endothelial
839,aaicodol-1,tumor
840,aaicpikg-1,tumor
842,aaiddako-1,tumor
843,aaidedpi-1,tumor
844,aaidelok-1,mixed_APC
845,aaidhkeh-1,tumor
846,aaidkiog-1,tumor
847,aaidmgop-1,tumor
848,aaidogge-1,NK cell
849,aaidoiak-1,tumor
850,aaiefibf-1,epithelial
851,aaiegjhf-1,endothelial
852,aaieicml-1,tumor
853,aaieiopd-1,tumor
855,aaiepckh-1,tumor
856,aaifcooh-1,endothelial
857,aaifdanj-1,tumor
858,aaifdkgf-1,tumor
859,aaifeejh-1,tumor
860,aaifhbkk-1,tumor
862,aaifiokd-1,tumor
863,aaifnfcb-1,CD4 N/CM
864,aaifnmhg-1,tumor
865,aaifpiog-1,tumor
866,aaigakjj-1,tumor
867,aaigdljo-1,tumor
868,aaigkbni-1,tumor
869,aaigndoh-1,tumor
871,aaihfapj-1,endothelial
872,aaihjdnc-1,tumor
873,aaihjeao-1,tumor
874,aaihjiem-1,epithelial
875,aaihkgjp-1,tumor
876,aaihkleh-1,tumor
877,aaihlgmb-1,tumor
878,aaihlpgn-1,tumor
879,aaihnppa-1,tumor
880,aaihoeoj-1,tumor
882,aaiidhnj-1,tumor
883,aaiilbna-1,epithelial
884,aaiileff-1,fibroblast
885,aaiimbop-1,mixed_APC
886,aaijcgin-1,tumor
887,aaijeebf-1,tumor
888,aaijgano-1,tumor
889,aaijgied-1,fibroblast
890,aaijhhnj-1,macrophage
891,aaijhmne-1,fibroblast
